index,engine_no,cutoff_time,RUL
1,1,2000-01-02 23:40:00,34
2,2,2000-01-04 16:20:00,89
3,3,2000-01-07 06:00:00,26
4,4,2000-01-09 05:20:00,16
5,5,2000-01-10 13:40:00,15
6,6,2000-01-11 09:50:00,225
7,7,2000-01-13 14:20:00,131
8,8,2000-01-15 08:10:00,110
9,9,2000-01-18 03:40:00,39
10,10,2000-01-19 08:40:00,219
11,11,2000-01-22 18:40:00,28
12,12,2000-01-23 23:50:00,125
13,13,2000-01-25 23:20:00,96
14,14,2000-01-27 22:40:00,65
15,15,2000-01-28 20:10:00,160
16,16,2000-01-30 05:50:00,142
17,17,2000-01-31 18:30:00,73
18,18,2000-02-02 01:10:00,232
19,19,2000-02-03 20:10:00,184
20,20,2000-02-06 19:10:00,3
21,21,2000-02-08 00:40:00,53
22,22,2000-02-09 14:40:00,36
23,23,2000-02-10 08:40:00,208
24,24,2000-02-12 00:20:00,156
25,25,2000-02-13 11:00:00,98
26,26,2000-02-15 15:50:00,78
27,27,2000-02-17 00:20:00,46
28,28,2000-02-17 23:50:00,107
29,29,2000-02-19 01:50:00,198
30,30,2000-02-21 10:50:00,153
31,31,2000-02-23 11:20:00,125
32,32,2000-02-25 06:40:00,84
33,33,2000-02-26 05:40:00,147
34,34,2000-02-28 17:50:00,62
35,35,2000-02-29 11:40:00,176
36,36,2000-03-02 15:50:00,6
37,37,2000-03-04 23:40:00,59
38,38,2000-03-05 15:30:00,141
39,39,2000-03-06 23:40:00,150
40,40,2000-03-09 08:00:00,18
41,41,2000-03-11 00:30:00,54
42,42,2000-03-12 16:00:00,97
43,43,2000-03-14 18:20:00,18
44,44,2000-03-15 17:00:00,85
45,45,2000-03-16 19:10:00,105
46,46,2000-03-18 00:20:00,251
47,47,2000-03-19 19:50:00,365
48,48,2000-03-23 08:30:00,179
49,49,2000-03-26 22:50:00,107
50,50,2000-03-27 18:10:00,163
51,51,2000-03-30 06:10:00,88
52,52,2000-04-01 17:50:00,87
53,53,2000-04-03 22:50:00,73
54,54,2000-04-04 15:10:00,172
55,55,2000-04-06 13:30:00,238
56,56,2000-04-09 09:40:00,176
57,57,2000-04-10 21:30:00,154
58,58,2000-04-12 14:10:00,191
59,59,2000-04-14 02:50:00,148
60,60,2000-04-16 05:20:00,63
61,61,2000-04-17 16:10:00,98
62,62,2000-04-19 15:00:00,114
63,63,2000-04-21 12:10:00,13
64,64,2000-04-22 03:40:00,104
65,65,2000-04-23 17:00:00,231
66,66,2000-04-26 08:20:00,26
67,67,2000-04-26 15:00:00,153
68,68,2000-04-28 19:40:00,0
69,69,2000-04-29 05:30:00,167
70,70,2000-04-30 15:40:00,147
71,71,2000-05-02 01:00:00,259
72,72,2000-05-05 03:30:00,120
73,73,2000-05-06 08:00:00,130
74,74,2000-05-08 13:30:00,53
75,75,2000-05-10 11:10:00,9
76,76,2000-05-10 22:20:00,94
77,77,2000-05-12 09:00:00,34
78,78,2000-05-14 05:10:00,19
79,79,2000-05-15 11:50:00,53
80,80,2000-05-17 14:10:00,56
81,81,2000-05-19 06:00:00,4
82,82,2000-05-20 04:30:00,66
83,83,2000-05-20 17:10:00,174
84,84,2000-05-21 23:10:00,153
85,85,2000-05-24 12:00:00,65
86,86,2000-05-25 03:40:00,203
87,87,2000-05-27 11:40:00,126
88,88,2000-05-30 14:20:00,66
89,89,2000-05-31 11:20:00,108
90,90,2000-06-02 00:40:00,96
91,91,2000-06-04 01:50:00,155
92,92,2000-06-05 06:30:00,174
93,93,2000-06-06 15:20:00,173
94,94,2000-06-08 10:10:00,165
95,95,2000-06-11 04:40:00,5
96,96,2000-06-12 01:00:00,153
97,97,2000-06-14 14:40:00,45
98,98,2000-06-16 02:50:00,73
99,99,2000-06-17 07:10:00,70
100,100,2000-06-18 03:10:00,211
101,101,2000-06-20 11:20:00,134
102,102,2000-06-22 00:00:00,108
103,103,2000-06-23 01:30:00,179
104,104,2000-06-25 14:20:00,17
105,105,2000-06-25 23:50:00,130
106,106,2000-06-27 21:10:00,124
107,107,2000-06-29 12:40:00,70
108,108,2000-07-01 14:00:00,78
109,109,2000-07-03 04:00:00,175
110,110,2000-07-04 11:30:00,172
111,111,2000-07-07 15:40:00,12
112,112,2000-07-08 15:10:00,211
113,113,2000-07-11 06:20:00,16
114,114,2000-07-11 20:40:00,91
115,115,2000-07-13 00:10:00,57
116,116,2000-07-14 10:30:00,195
117,117,2000-07-17 14:00:00,84
118,118,2000-07-19 08:20:00,373
119,119,2000-07-22 01:50:00,167
120,120,2000-07-23 15:20:00,119
121,121,2000-07-24 21:30:00,132
122,122,2000-07-26 04:30:00,120
123,123,2000-07-27 12:30:00,154
124,124,2000-07-28 16:30:00,156
125,125,2000-07-31 01:40:00,52
126,126,2000-08-01 02:00:00,208
127,127,2000-08-02 19:30:00,194
128,128,2000-08-04 06:50:00,230
129,129,2000-08-06 02:30:00,158
130,130,2000-08-07 22:00:00,63
131,131,2000-08-09 23:30:00,136
132,132,2000-08-11 00:10:00,242
133,133,2000-08-15 15:00:00,66
134,134,2000-08-17 00:40:00,111
135,135,2000-08-18 17:50:00,13
136,136,2000-08-19 07:30:00,136
137,137,2000-08-20 21:50:00,131
138,138,2000-08-22 22:30:00,17
139,139,2000-08-24 10:00:00,55
140,140,2000-08-25 16:40:00,169
141,141,2000-08-26 21:50:00,193
142,142,2000-08-29 05:10:00,70
143,143,2000-08-29 23:50:00,142
144,144,2000-09-01 04:10:00,125
145,145,2000-09-03 03:50:00,67
146,146,2000-09-04 10:00:00,189
147,147,2000-09-06 23:00:00,57
148,148,2000-09-07 18:30:00,133
149,149,2000-09-09 22:20:00,83
150,150,2000-09-11 11:30:00,9
151,151,2000-09-12 05:30:00,252
152,152,2000-09-14 12:30:00,184
153,153,2000-09-16 13:40:00,57
154,154,2000-09-18 06:30:00,15
155,155,2000-09-20 07:30:00,16
156,156,2000-09-21 01:40:00,46
157,157,2000-09-23 07:00:00,24
158,158,2000-09-23 22:20:00,331
159,159,2000-09-26 08:30:00,270
160,160,2000-09-29 07:10:00,33
161,161,2000-09-30 01:20:00,227
162,162,2000-10-02 06:10:00,223
163,163,2000-10-04 07:40:00,211
164,164,2000-10-06 15:20:00,257
165,165,2000-10-08 12:20:00,242
